#Angle(deg)	Relative_Energy(kcal/mol)
-177.52	1.379739
-171.52	1.434009
-165.52	1.739436
-159.52	2.168292
-153.52	3.311064
-147.52	3.915021
-141.52	4.348886
-135.52	4.808362
-129.52	5.147952
-123.52	5.289979
-117.52	5.273872
-111.52	4.542509
-105.52	4.167794
-99.52	3.722904
-93.52	3.273712
-87.52	2.739131
-81.52	2.246029
-75.52	1.899943
-69.52	1.562117
-63.52	1.510863
-57.52	1.526641
-51.52	1.660951
-45.52	2.021879
-39.52	2.358416
-33.52	2.836344
-27.52	3.224672
-21.52	3.721261
-15.52	4.077838
-9.52	4.284142
-3.52	4.400220
2.48	4.323462
8.48	3.990609
14.48	3.658061
20.48	3.196538
26.48	2.622023
32.48	1.887050
38.48	1.321366
44.48	0.749462
50.48	0.408129
56.48	0.150350
62.48	0.000000
68.48	0.072361
74.48	0.291531
80.48	0.652798
86.48	1.153118
92.48	1.736991
98.48	2.351755
104.48	2.875718
110.48	3.275645
116.48	3.602258
122.48	3.741397
128.48	3.716979
134.48	3.477011
140.48	3.095415
146.48	2.702852
152.48	2.276774
158.48	1.929972
164.48	1.541304
170.48	1.375607
176.48	1.306348
