 #Dihedral(deg)  RelEnergy(kcal/mol)
       -177.517             0.993659
       -171.517             1.070460
       -165.517             1.242594
       -159.517             1.494357
       -153.517             1.823512
       -147.517             2.190481
       -141.517             2.550354
       -135.517             2.862427
       -129.517             3.105129
       -123.517             3.237495
       -117.516             3.191123
       -111.516             3.040602
       -105.516             2.677855
        -99.516             2.237831
        -93.516             1.745418
        -87.517             1.207488
        -81.517             0.728192
        -75.517             0.355083
        -69.517             0.105022
        -63.517             0.001004
        -63.517             0.000000
        -57.517             0.077597
        -51.517             0.348441
        -45.517             0.793122
        -39.516             1.370102
        -33.517             2.040286
        -27.517             2.759761
        -21.517             3.450733
        -15.517             4.046765
         -9.517             4.488181
         -3.517             4.733745
          2.483             4.773313
          8.483             4.581241
         14.483             4.178780
         20.483             3.627478
         26.483             2.963780
         32.483             2.254758
         38.483             1.593075
         44.483             1.032494
         50.483             0.607193
         56.483             0.365985
         62.483             0.312517
         68.483             0.432993
         74.483             0.708752
         80.483             1.103436
         86.483             1.591383
         92.483             2.120555
         98.483             2.633905
        104.483             3.100523
        110.483             3.460730
        116.483             3.658836
        122.484             3.694041
        128.484             3.585265
        134.484             3.357776
        140.484             3.000198
        146.484             2.577493
        152.484             2.154018
        158.484             1.767138
        164.484             1.435478
        170.483             1.182084
        176.484             1.025689
